,,,,,
,,,,,
Accomodations,,,,,
Name ,Web,Instagram,Pictures,,Contact/info
Antica Latteria,https://www.anticalatteriaroma.it/,,https://drive.google.com/file/d/1_6dhld5hti_9fFLLdZapQnlvy6z02AbX/view?usp=drive_link,,
Roscioli Forno,https://www.anticofornoroscioli.it/,https://www.instagram.com/anticofornoroscioli/?hl=it,https://drive.google.com/file/d/12uS9hdW5EwRX5F60q5VTfvnNnYhM_jJ6/view?usp=drive_link,,
Ristorante Dal Bolognese,https://roma.dalbolognese.it/,https://www.instagram.com/dalbolognese/,https://drive.google.com/file/d/1qtPCfvR3cNJxIEIsW3xghEkCA1pTr9fG/view?usp=drive_link,,
"Mandaloun (Lebanese, Via Porta Pinciana)",,https://www.instagram.com/mandaloun_lebanese/,https://drive.google.com/file/d/1BM7AiMXEXqjr6xJkGjK2HkLvfdxIvcLd/view?usp=drive_link,,
Jewish Quarter,,,,,
BaGhetto,https://www.baghetto.com/,https://www.instagram.com/baghettorestaurants/,https://drive.google.com/file/d/19maeUvkyNZLUUQGgo5TqvcKbRaj2qbG-/view?usp=drive_link,,Typical dish: Jewish artichokes
Tartaruga,https://www.tartarughebar.it/,https://www.instagram.com/tartarughe_barbottega/,https://drive.google.com/file/d/1GW2j7-7QOZb0feYMg9CuAs67Zru4Dl6e/view?usp=drive_link,,Typical dish: Jewish artichokes
Sightseeing,,,,,
Name ,Web,Instagram,Pictures,,Contact/info
Santa Maria Maggiore (where Pope Francis is buried),- ,- ,https://drive.google.com/file/d/1tm1kH5TTXXIubP65nDomx2DPpYndnpu5/view?usp=drive_link,,- 
San Giovanni in Laterano,- ,- ,https://drive.google.com/file/d/1QgZUL_CLyIUz3R0xrTCwiab5eNlYGg7E/view?usp=drive_link,,- 
San Clemente,- ,- ,https://drive.google.com/file/d/1IP8GmX-EX_HxJo5im7EvLuVARE0JXeIc/view?usp=drive_link,,- 
Colosseum,- ,- ,https://drive.google.com/file/d/1nrUiJwPkaCPB1i4qGJ7_iDgoaui-GgZj/view?usp=drive_link,,- 
Catacombs,- ,- ,https://drive.google.com/file/d/1Qe3TMXFaIAoNacALyouC7_cRrXVznx5m/view?usp=drive_link,,- 
Cripta dei Cappuccini,- ,- ,https://drive.google.com/file/d/1ChBST0OwsmG46YHImLjEjjsfDyb4eMBi/view?usp=drive_link,,- 
Roman Forum,- ,- ,https://drive.google.com/file/d/1mJiL_lHcVboE6NY6S85A3jFEdg8HPUQu/view?usp=drive_link,,- 
St. Peter's Basilica,- ,- ,https://drive.google.com/file/d/15c5N5tzloEfbAw3VF4hoKl_BIHosiEdi/view?usp=drive_link,,- 
Vatican Museums,- ,- ,https://drive.google.com/file/d/1Hk2m4qYNhF6W_Uxj0jgLs9rgWN9fpV0F/view?usp=drive_link,,- 
Castel Sant'Angelo,- ,- ,https://drive.google.com/file/d/1cRDWOzUXTu1TJkLkze3qZtHhjxx7jNWk/view?usp=drive_link,,- 
Musei Capitolini,- ,- ,https://drive.google.com/file/d/13bbY_DP4DyfIONtZziBoEzDqJMyQtzdO/view?usp=drive_link,,- 
Bocca della Verità,- ,- ,https://drive.google.com/file/d/1rGCOW9OYhF6DVL0ki1ZGNe3TcJYkwTiY/view?usp=drive_link,,- 
Palazzo Altemps ,- ,- ,https://drive.google.com/file/d/1ygtZYxJH74oD6159L71ih-jxUQ5MUUpo/view?usp=drive_link,,- 
Villa Borghese,- ,- ,https://drive.google.com/file/d/1ry_15MP3BRzPtC-CRwxYigdZk7ni7OZG/view?usp=drive_link,,- 
Spanish Steps,- ,- ,https://drive.google.com/file/d/1tHZKR9qucfprOHCJYSyjuZlhz-PXj4j4/view?usp=drive_link,,- 
Piazza Navona,- ,- ,https://drive.google.com/file/d/1qkCgr4wUJNhwG08WpgaCYDq9JMOrK7xj/view?usp=drive_link,,- 
Piazza Farnese,- ,- ,https://drive.google.com/file/d/1h_LiFNiI6oWbmUsLudbPNinAeqW4jPCj/view?usp=drive_link,,- 
The Jewish Quarter,- ,- ,https://drive.google.com/file/d/1k-ts1LzUj-etpcrZXxnqjdMI6JPzQv3l/view?usp=drive_link,,- 
Trastevere,- ,- ,https://drive.google.com/file/d/1cprKJnqSCOJOb0QRqb4nOsfMrbwq1gGZ/view?usp=drive_link,,- 
"For some museums, it is advisable to book tickets in advance*",,,,,
Tour Guides,,,,,
Name ,Contact/info,,,,
Chiara Roscioli,"00 393921275963 (English, German, Italian)",,,,
Evelina,"00393387339838 (Spanish, Italian)",,,,
Evening Hotspots,,,,,
Name ,Web,Instagram,Pictures,,Contact/info
Piazza di Pietra,,,https://drive.google.com/file/d/1Cx-hzpajeLV1vGucKi6p4ylNmO1Tt8BD/view?usp=drive_link,,
Testaccio,,,https://drive.google.com/file/d/1cjPxEY1ewEDbYSfAS7bdN-jmaUvQpRQX/view?usp=drive_link,,
Monti,,,https://drive.google.com/file/d/1XxRCx2jSruJsEAqmDqFOOW6m8YsNWpgk/view?usp=drive_link,,
Trastevere,,,https://drive.google.com/file/d/1OzUkLKEHq357zSuupuxK0AETnXz_YqWa/view?usp=drive_link,,
San Lorenzo,,,https://drive.google.com/file/d/1qQNE9AUqAOcGLtofEu_d55cvQIINj6Cv/view?usp=drive_link,,
Day Trips from Rome,,,,,
Name ,Web,Instagram,Pictures,,Contact/info
Ostia Antica Beach,,,https://drive.google.com/file/d/1LFj4gLTCTrrdMuCPdaYym94lJjANPzc_/view?usp=drive_link,,
Ostia Beach,,,https://drive.google.com/file/d/1TCXl9yDEl3gw95beyGl4O1A_8kSKnKTh/view?usp=drive_link,,
Fregene Beach,,,https://drive.google.com/file/d/1H2Fwal3Rn9ky2VEqEjnDvNlK8M20TwS3/view?usp=drive_link,,
"For a restaurant and beach club, ""Il Patio,"" you can contact Federica Mondi at +393395422153*",,,,,
,,,,,
google map with all the tips*,,,,,
